update,E,I,S,V,coherence,risk,decision,lambda1
1,,,,-0.012,1.0,0.29206248878909224,approve,
2,,,,-0.022831500000000005,0.39938259806261767,0.28612228628662845,reject,
3,,,,-0.032577369010950936,0.39235769419643907,0.4802452253968864,reject,
4,,,,-0.04131645166726619,0.3792742651911733,0.28609350538777384,reject,
5,,,,-0.049121973529624476,0.3762878424199886,0.49114441819189614,reject,
6,,,,-0.056062173203433256,0.3637446002986595,0.284790594850447,reject,
7,,,,-0.06220042453103114,0.36083151325123486,0.4957498416539819,reject,
8,,,,-0.06759586522439126,0.3488087036731512,0.283341037295968,reject,
9,,,,-0.07230342959420126,0.3459723273888945,0.5003674176265797,reject,
10,,,,-0.07637444172316349,0.5646251788442546,0.3145572385984561,reject,
11,,,,-0.0798590326753401,0.9424308734888585,0.2162465852419465,approve,
12,,,,-0.08280259849620518,0.950492279143315,0.20485945806373143,approve,
13,,,,-0.0852465248277686,0.9497667789960371,0.2229993202907266,approve,
14,,,,-0.08722938784227406,0.9182931208168598,0.20850352825723859,approve,
15,,,,-0.08878713804587389,0.887592622074528,0.24779266974740316,approve,
16,,,,-0.08995328283483331,0.8554522949628658,0.22133237265795574,approve,
17,,,,-0.09075904843425882,0.8268028115305217,0.2719584521701959,approve,
18,,,,-0.09123353551055122,0.7990717954962316,0.23223875129617116,approve,
19,0.7046714632933951,0.8229238264226684,0.0799726490833054,-0.0914038581878174,0.772246936553461,0.2943330608406876,approve,0.11429377682663819

Summary,,,,,,,,
agent_id,composer_cursor,,,,,,,
total_updates,19,,,,,,,
total_time,1.9000000000000006,,,,,,,
lambda1_final,0.11429377682663819,,,,,,,
