update,E,I,S,V,coherence,risk,decision,lambda1
1,,,,-0.012,1.0,0.09385304652631833,approve,
2,,,,-0.022831500000000005,0.7093507069670928,0.1810478344361905,approve,
3,,,,-0.0325790561780458,0.7279747304641203,0.17546062738708224,approve,
4,,,,-0.041321543643837846,0.7463795916822819,0.16993916902163378,approve,
5,,,,-0.049132290497519604,0.745847781435164,0.17009871209576916,approve,
6,,,,-0.056079468802952864,0.7599622152077044,0.16586438196400702,approve,
7,,,,-0.06222655115004658,0.7791487486508802,0.16010842193105426,approve,
8,,,,-0.06763263903842426,0.7676124015157323,0.16356932607159863,approve,
9,,,,-0.07235272065601893,0.77009378247561,0.16282491178363534,approve,
10,,,,-0.07643804888516167,0.7451215254871376,0.1703241537844577,approve,
11,,,,-0.07993632619008126,0.7753602112619153,0.2513059115614703,approve,
12,,,,-0.0828921357078738,0.7725120618165364,0.25216035639508394,approve,
13,,,,-0.08534695557727542,0.7724410907597067,0.25218164771213286,approve,
14,,,,-0.08733945636303776,0.7359801019519501,0.26311994435445984,approve,
15,,,,-0.08890561097770275,0.7451836517542725,0.2603588794137631,approve,
16,,,,-0.09007905243887983,0.7439474804829844,0.26072973079514955,approve,
17,,,,-0.09089110808321377,0.744594977551052,0.2605354816747293,approve,
18,,,,-0.09137098168986202,0.7543234278060074,0.2576169465982427,approve,
19,,,,-0.09154591009701575,0.7785843872022289,0.2503386587793762,approve,
20,,,,-0.09144129973138396,0.7715651709479786,0.2524444236556513,approve,
21,,,,-0.09108075430716954,0.77775723424692,0.3105258762522423,revise,
22,,,,-0.09048628895754847,0.7505276215864592,0.31869476005038055,revise,
23,,,,-0.08967832589254279,0.744557515240774,0.32048579195408616,revise,
24,,,,-0.0886759157994013,0.7647539575909338,0.3144268592490382,revise,
25,,,,-0.08749684159817017,0.7608145482878622,0.3156086820399597,revise,
26,,,,-0.08615758745008437,0.7405260658036223,0.32169522678523166,revise,
27,,,,-0.08467343805260515,0.7287798914977865,0.3252190790769824,revise,
28,,,,-0.08305861138216411,0.7569832463978055,0.3167580726069767,revise,
29,,,,-0.08132640823215714,0.7398031926560746,0.32191208872949595,revise,
30,0.7452288218275589,0.7868430935686728,0.014779925658104282,-0.07948906238205969,0.7271984457777494,0.3256935127929935,revise,0.12568277133192984

Summary,,,,,,,,
agent_id,composer_cursor,,,,,,,
total_updates,30,,,,,,,
total_time,3.0000000000000013,,,,,,,
lambda1_final,0.12568277133192984,,,,,,,
